OBJECTID,IDPOSTE,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOPOSTE,OBSERVACIONES,IDENTIFICATIVO,CODIGOTIPOPOSTE,CODIGOEMPRESA,CODIGODARSENA,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,FECHAMAQUETACIONTIRA,FECHACOLOCACIONTIRA,IDFESTACION
1,6_5306_*,20240628,6,5306,*,,PS,6,100,,20140626,,,445274.78,4480954.078,079,28,2005/03/05 00:00:00+00,,6_5306
2,6_5313_*,20240628,6,5313,*,,PS,6,100,,20050630,,,439055.14788,4473494.90971,079,28,2005/06/30 00:00:00+00,,6_5313
3,6_5315_*,20240628,6,5315,*,,PS,6,100,,20150211,,,445157.336,4480596.739,079,28,2005/05/06 00:00:00+00,,6_5315
4,6_8_*,20240628,6,8,*,,PS,6,100,,20181126,,,443163.8776,4475883.1438,079,28,2003/01/01 00:00:00+00,,6_8
5,6_235_*,20240628,6,235,*,,PS,6,100,,20201203,,,440934.71691,4474651.46567,079,28,2003/01/01 00:00:00+00,,6_235
6,6_5304_*,20240628,6,5304,*,,PS,6,100,,20050620,,,440859.74853,4474479.48837,079,28,2005/03/21 00:00:00+00,,6_5304
7,6_2_*,20240628,6,2,*,,PS,6,100,,20110707,,,442799.05,4477299.207,079,28,2003/01/01 00:00:00+00,,6_2
8,6_3_*,20240628,6,3,*,,PS,6,100,,20110621,,,442968.06,4476974.233,079,28,2003/01/01 00:00:00+00,,6_3
9,6_4_*,20240628,6,4,*,,PS,6,100,,20030101,,,447340.3223,4472537.4318,079,28,2003/01/01 00:00:00+00,,6_4
10,6_5_*,20240628,6,5,*,,PS,6,100,,20110617,,,443191.394,4476704.205,079,28,2003/01/01 00:00:00+00,,6_5
11,6_6_*,20240628,6,6,*,,PS,6,100,,20030101,,,443241.063,4476360.2409,079,28,2003/01/01 00:00:00+00,,6_6
12,6_7_*,20240628,6,7,*,,PS,6,100,,20030101,,,443199.9776,4476122.8316,079,28,2003/01/01 00:00:00+00,,6_7
13,6_9_*,20240628,6,9,*,,PS,6,100,,20110617,,,442770.504,4475909.54,079,28,2003/01/01 00:00:00+00,,6_9
14,6_10_*,20240628,6,10,*,,PS,6,100,,20030101,,,442379.9776,4475939.6952,079,28,2003/01/01 00:00:00+00,,6_10
15,6_11_*,20240628,6,11,*,,PS,6,100,,20030101,,,441922.68,4475971.0225,079,28,2003/01/01 00:00:00+00,,6_11
16,6_13_*,20240628,6,13,*,,PS,6,100,,20030101,,,441756.2164,4475447.2409,079,28,2003/01/01 00:00:00+00,,6_13
17,6_14_*,20240628,6,14,*,,PS,6,100,,20030101,,,441707.3806,4475115.4136,079,28,2003/01/01 00:00:00+00,,6_14
18,6_15_*,20240628,6,15,*,,PS,6,100,,20030101,,,441642.5005,4474854.8497,079,28,2003/01/01 00:00:00+00,,6_15
19,6_16_*,20240628,6,16,*,,PS,6,100,,20030101,,,441299.7411,4474782.1589,079,28,2003/01/01 00:00:00+00,,6_16
20,6_17_*,20240628,6,17,*,,PS,6,100,,20211222,,,441045.07344,4474700.80884,079,28,2003/01/01 00:00:00+00,,6_17
21,6_19_*,20240628,6,19,*,,PS,6,100,,20101103,,,440104.735,4474956.647,079,28,2003/01/01 00:00:00+00,,6_19
22,6_20_*,20240628,6,20,*,,PS,6,100,,20030101,,,439881.91,4475151.0225,079,28,2003/01/01 00:00:00+00,,6_20
23,6_21_*,20240628,6,21,*,,PS,6,100,,20030101,,,439633.7551,4475511.4681,079,28,2003/01/01 00:00:00+00,,6_21
24,6_22_*,20240628,6,22,*,,PS,6,100,,20030101,,,439503.9725,4475756.4681,079,28,2003/01/01 00:00:00+00,,6_22
25,6_23_*,20240628,6,23,*,,PS,6,100,,20030101,,,439390.5378,4475964.1226,079,28,2003/01/01 00:00:00+00,,6_23
26,6_24_*,20240628,6,24,*,,PS,6,100,,20030101,,,439269.8013,4476190.2953,079,28,2003/01/01 00:00:00+00,,6_24
27,6_25_*,20240628,6,25,*,,PS,6,100,,20140627,,,439129.124,4476438.963,079,28,2003/01/01 00:00:00+00,,6_25
28,6_26_*,20240628,6,26,*,,PS,6,100,,20170908,,,439244.9944,4476900.3955,079,28,2003/01/01 00:00:00+00,,6_26
29,6_27_*,20240628,6,27,*,,PS,6,100,,20080407,,,439186.29,4476585.128,079,28,2003/01/01 00:00:00+00,,6_27
30,6_29_*,20240628,6,29,*,,PS,6,100,,20030101,,,439250.6092,4476175.0319,079,28,2003/01/01 00:00:00+00,,6_29
31,6_30_*,20240628,6,30,*,,PS,6,100,,20030101,,,439367.0602,4475963.1865,079,28,2003/01/01 00:00:00+00,,6_30
32,6_31_*,20240628,6,31,*,,PS,6,100,,20030101,,,439499.2668,4475717.5682,079,28,2003/01/01 00:00:00+00,,6_31
33,6_32_*,20240628,6,32,*,,PS,6,100,,20030101,,,439616.105,4475498.0319,079,28,2003/01/01 00:00:00+00,,6_32
34,6_33_*,20240628,6,33,*,,PS,6,100,,20110209,,,439840.558,4475159.488,079,28,2003/01/01 00:00:00+00,,6_33
35,6_34_*,20240628,6,34,*,,PS,6,100,,20100909,,,440097.02,4474942.369,079,28,2003/01/01 00:00:00+00,,6_34
36,6_36_*,20240628,6,36,*,,PS,6,100,,20211222,,,440961.69958,4474704.62401,079,28,2003/01/01 00:00:00+00,,6_36
37,6_38_*,20240628,6,38,*,,PS,6,100,,20030101,,,441731.64508,4474783.56397,079,28,2003/01/01 00:00:00+00,,6_38
38,6_39_*,20240628,6,39,*,,PS,6,100,,20030101,,,442060.4277,4475027.4136,079,28,2003/01/01 00:00:00+00,,6_39
39,6_40_*,20240628,6,40,*,,PS,6,100,,20030101,,,442083.8708,4475340.4136,079,28,2003/01/01 00:00:00+00,,6_40
40,6_41_*,20240628,6,41,*,,PS,6,100,,20030101,,,442103.5256,4475630.9136,079,28,2003/01/01 00:00:00+00,,6_41
41,6_42_*,20240628,6,42,*,,PS,6,100,,20030101,,,442123.3367,4475909.4136,079,28,2003/01/01 00:00:00+00,,6_42
42,6_43_*,20240628,6,43,*,,PS,6,100,,20030101,,,442380.5224,4475921.614,079,28,2003/01/01 00:00:00+00,,6_43
43,6_44_*,20240628,6,44,*,,PS,6,100,,20110617,,,442771.988,4475896.729,079,28,2003/01/01 00:00:00+00,,6_44
44,6_45_*,20240628,6,45,*,,PS,6,100,,20110617,,,443202.817,4475866.756,079,28,2003/01/01 00:00:00+00,,6_45
45,6_46_*,20240628,6,46,*,,PS,6,100,,20181126,,,443237.9446,4476030.2197,079,28,2003/01/01 00:00:00+00,,6_46
46,6_47_*,20240628,6,47,*,,PS,6,100,,20030101,,,443255.1301,4476384.4136,079,28,2003/01/01 00:00:00+00,,6_47
47,6_48_*,20240628,6,48,*,,PS,6,100,,20110617,,,443200.7,4476708.221,079,28,2003/01/01 00:00:00+00,,6_48
48,6_49_*,20240628,6,49,*,,PS,6,100,,20030101,,,442979.0131,4476972.7772,079,28,2003/01/01 00:00:00+00,,6_49
49,6_50_*,20240628,6,50,*,,PS,6,100,,20030101,,,444894.1786,4480045.8497,079,28,2003/01/01 00:00:00+00,,6_50
50,6_51_*,20240628,6,51,*,,PS,6,100,,20110707,,,442810.933,4477295.251,079,28,2003/01/01 00:00:00+00,,6_51
51,6_52_*,20240628,6,52,*,,PS,6,100,,20110707,,,442755.038,4477568.918,079,28,2003/01/01 00:00:00+00,,6_52
52,6_53_*,20240628,6,53,*,,PS,6,100,,20140605,,,439698.573,4477678.086,079,28,2003/01/01 00:00:00+00,,6_53
53,6_54_*,20240628,6,54,*,,PS,6,100,,20030101,,,439676.2449,4477387.5864,079,28,2003/01/01 00:00:00+00,,6_54
54,6_55_*,20240628,6,55,*,,PS,6,100,,20080929,,,439668.872,4477221.274,079,28,2003/01/01 00:00:00+00,,6_55
55,6_56_*,20240628,6,56,*,,PS,6,100,,20190416,,,439646.90394,4476903.68928,079,28,2003/01/01 00:00:00+00,,6_56
56,6_57_*,20240628,6,57,*,,PS,6,100,,20190416,,,439625.98887,4476580.44273,079,28,2003/01/01 00:00:00+00,,6_57
57,6_58_*,20240628,6,58,*,,PS,6,100,,20190416,,,439606.20958,4476304.51372,079,28,2003/01/01 00:00:00+00,,6_58
58,6_59_*,20240628,6,59,*,,PS,6,100,,20190416,,,439587.31591,4476018.33689,079,28,2003/01/01 00:00:00+00,,6_59
59,6_60_*,20240628,6,60,*,,PS,6,100,,20030101,,,441944.979,4474860.5777,079,28,2003/01/01 00:00:00+00,,6_60
60,6_61_*,20240628,6,61,*,,PS,6,100,,20030101,,,442376.028,4474962.4594,079,28,2003/01/01 00:00:00+00,,6_61
61,6_62_*,20240628,6,62,*,,PS,6,100,,20030101,,,442735.5387,4474962.7504,079,28,2003/01/01 00:00:00+00,,6_62
62,6_63_*,20240628,6,63,*,,PS,6,100,,20080808,,,443002.251,4474948.755,079,28,2003/01/01 00:00:00+00,,6_63
63,6_64_*,20240628,6,64,*,,PS,6,100,,20080808,,,443309.226,4474927.152,079,28,2003/01/01 00:00:00+00,,6_64
64,6_65_*,20240628,6,65,*,,PS,6,100,,20080808,,,443383.877,4475091.779,079,28,2003/01/01 00:00:00+00,,6_65
65,6_66_*,20240628,6,66,*,,PS,6,100,,20080808,,,443395.388,4475334.298,079,28,2003/01/01 00:00:00+00,,6_66
66,6_68_*,20240628,6,68,*,,PS,6,100,,20030101,,,443370.9338,4475346.7591,079,28,2003/01/01 00:00:00+00,,6_68
67,6_69_*,20240628,6,69,*,,PS,6,100,,20030101,,,443345.4594,4474998.7409,079,28,2003/01/01 00:00:00+00,,6_69
68,6_70_*,20240628,6,70,*,,PS,6,100,,20030101,,,443314.1012,4474941.4585,079,28,2003/01/01 00:00:00+00,,6_70
69,6_71_*,20240628,6,71,*,,PS,6,100,,20100121,,,442996.975,4474958.369,079,28,2003/01/01 00:00:00+00,,6_71
70,6_72_*,20240628,6,72,*,,PS,6,100,,20030101,,,442722.445,4474984.3765,079,28,2003/01/01 00:00:00+00,,6_72
71,6_73_*,20240628,6,73,*,,PS,6,100,,20190207,,,442384.9758,4474977.7357,079,28,2003/01/01 00:00:00+00,,6_73
72,6_75_*,20240628,6,75,*,,PS,6,100,,20030101,,,439568.8638,4475679.5138,079,28,2003/01/01 00:00:00+00,,6_75
73,6_76_*,20240628,6,76,*,,PS,6,100,,20030101,,,439735.1749,4476009.0682,079,28,2003/01/01 00:00:00+00,,6_76
74,6_77_*,20240628,6,77,*,,PS,6,100,,20110706,,,439758.864,4476366.827,079,28,2003/01/01 00:00:00+00,,6_77
75,6_78_*,20240628,6,78,*,,PS,6,100,,20030101,,,439844.07,4476508.3048,079,28,2003/01/01 00:00:00+00,,6_78
76,6_79_*,20240628,6,79,*,,PS,6,100,,20030101,,,440043.3978,4476880.9136,079,28,2003/01/01 00:00:00+00,,6_79
77,6_80_*,20240628,6,80,*,,PS,6,100,,20030101,,,440054.4398,4477087.9136,079,28,2003/01/01 00:00:00+00,,6_80
78,6_81_*,20240628,6,81,*,,PS,6,100,,20030101,,,439927.813,4477339.6589,079,28,2003/01/01 00:00:00+00,,6_81
79,6_82_*,20240628,6,82,*,,PS,6,100,,20030101,,,439704.96197,4477189.42916,079,28,2003/01/01 00:00:00+00,,6_82
80,6_83_*,20240628,6,83,*,,PS,6,100,,20030101,,,439436.7407,4477320.114,079,28,2003/01/01 00:00:00+00,,6_83
81,6_84_*,20240628,6,84,*,,PS,6,100,,20030101,,,439457.0681,4477455.8955,079,28,2003/01/01 00:00:00+00,,6_84
82,6_85_*,20240628,6,85,*,,PS,6,100,,20140605,,,439542.026,4477690.314,079,28,2003/01/01 00:00:00+00,,6_85
83,6_86_*,20240628,6,86,*,,PS,6,100,,20140610,,,442477.365,4474758.494,079,28,2003/01/01 00:00:00+00,,6_86
84,6_87_*,20240628,6,87,*,,PS,6,100,,20030101,,,442694.1012,4474461.3497,079,28,2003/01/01 00:00:00+00,,6_87
85,6_91_*,20240628,6,91,*,,PS,6,100,,20030101,,,443279.6964,4474427.7133,079,28,2003/01/01 00:00:00+00,,6_91
86,6_92_*,20240628,6,92,*,,PS,6,100,,20030101,,,443067.8988,4474599.5587,079,28,2003/01/01 00:00:00+00,,6_92
87,6_93_*,20240628,6,93,*,,PS,6,100,,20030101,,,442711.9776,4474622.677,079,28,2003/01/01 00:00:00+00,,6_93
88,6_94_*,20240628,6,94,*,,PS,6,100,,20030101,,,442494.8489,4474769.1408,079,28,2003/01/01 00:00:00+00,,6_94
89,6_95_*,20240628,6,95,*,,PS,6,100,,20110711,,,441008.651,4478697.211,079,28,2003/01/01 00:00:00+00,,6_95
90,6_96_*,20240628,6,96,*,,PS,6,100,,20030101,,,441103.5364,4478832.9136,079,28,2003/01/01 00:00:00+00,,6_96
91,6_97_*,20240628,6,97,*,,PS,6,100,,20030101,,,440947.903,4478891.886,079,28,2003/01/01 00:00:00+00,,6_97
92,6_98_*,20240628,6,98,*,,PS,6,100,,20110121,,,440575.198,4478876.909,079,28,2003/01/01 00:00:00+00,,6_98
93,6_99_*,20240628,6,99,*,,PS,6,100,,20030101,,,440504.4907,4478655.5864,079,28,2003/01/01 00:00:00+00,,6_99
94,6_100_*,20240628,6,100,*,,PS,6,100,,20081216,,,440565.656,4480786.107,079,28,2003/01/01 00:00:00+00,,6_100
95,6_101_*,20240628,6,101,*,,PS,6,100,,20110711,,,440429.007,4478037.465,079,28,2003/01/01 00:00:00+00,,6_101
96,6_102_*,20240628,6,102,*,,PS,6,100,,20190415,,,440404.04264,4477670.09966,079,28,2003/01/01 00:00:00+00,,6_102
97,6_103_*,20240628,6,103,*,,PS,6,100,,20030101,,,440391.1647,4477439.9318,079,28,2003/01/01 00:00:00+00,,6_103
98,6_104_*,20240628,6,104,*,,PS,6,100,,20190415,,,440427.55293,4476887.58558,079,28,2003/01/01 00:00:00+00,,6_104
99,6_105_*,20240628,6,105,*,,PS,6,100,,20030101,,,440512.3536,4476618.0682,079,28,2003/01/01 00:00:00+00,,6_105
100,6_106_*,20240628,6,106,*,,PS,6,100,,20190416,,,440580.25256,4476424.52991,079,28,2003/01/01 00:00:00+00,,6_106
101,6_121_*,20240628,6,121,*,,PS,6,100,,20190731,,,439735.13767,4473307.3412,079,28,2003/01/01 00:00:00+00,,6_121
102,6_122_*,20240628,6,122,*,,PS,6,100,,20101013,,,439676.055,4473452.423,079,28,2003/01/01 00:00:00+00,,6_122
103,6_123_*,20240628,6,123,*,,PS,6,100,,20030101,,,439598.7756,4473602.7953,079,28,2003/01/01 00:00:00+00,,6_123
104,6_124_*,20240628,6,124,*,,PS,6,100,,20030101,,,439539.0322,4473840.4136,079,28,2003/01/01 00:00:00+00,,6_124
105,6_125_*,20240628,6,125,*,,PS,6,100,,20150825,,,439547.059,4473945.587,079,28,2003/01/01 00:00:00+00,,6_125
106,6_126_*,20240628,6,126,*,,PS,6,100,,20080929,,,439577.549,4474255.733,079,28,2003/01/01 00:00:00+00,,6_126
107,6_132_*,20240628,6,132,*,,PS,6,100,,20030101,,,440841.903,4475216.5682,079,28,2003/01/01 00:00:00+00,,6_132
108,6_134_*,20240628,6,134,*,,PS,6,100,,20030101,,,441090.9142,4475743.1226,079,28,2003/01/01 00:00:00+00,,6_134
109,6_135_*,20240628,6,135,*,,PS,6,100,,20190415,,,440930.99653,4476218.51674,079,28,2003/01/01 00:00:00+00,,6_135
110,6_136_*,20240628,6,136,*,,PS,6,100,,20190415,,,440862.00181,4476435.8722,079,28,2003/01/01 00:00:00+00,,6_136
111,6_137_*,20240628,6,137,*,,PS,6,100,,20080929,,,440788.53,4476662.948,079,28,2003/01/01 00:00:00+00,,6_137
112,6_138_*,20240628,6,138,*,,PS,6,100,,20030101,,,440691.5867,4476977.7772,079,28,2003/01/01 00:00:00+00,,6_138
113,6_139_*,20240628,6,139,*,,PS,6,100,,20030101,,,440615.6642,4477216.9318,079,28,2003/01/01 00:00:00+00,,6_139
114,6_140_*,20240628,6,140,*,,PS,6,100,,20110706,,,440519.821,4477496.785,079,28,2003/01/01 00:00:00+00,,6_140
115,6_141_*,20240628,6,141,*,,PS,6,100,,20190415,,,440451.01641,4477713.3859,079,28,2003/01/01 00:00:00+00,,6_141
116,6_142_*,20240628,6,142,*,,PS,6,100,,20030101,,,440600.3321,4480749.0959,079,28,2003/01/01 00:00:00+00,,6_142
117,6_144_*,20240628,6,144,*,,PS,6,100,,20110711,,,440854.537,4478425.945,079,28,2003/01/01 00:00:00+00,,6_144
118,6_145_*,20240628,6,145,*,,PS,6,100,,20101015,,,445940.089,4476787.602,079,28,2003/01/01 00:00:00+00,,6_145
119,6_146_*,20240628,6,146,*,,PS,6,100,,20030101,,,446164.1064,4476425.3592,079,28,2003/01/01 00:00:00+00,,6_146
120,6_147_*,20240628,6,147,*,,PS,6,100,,20030101,,,446305.5126,4476162.2047,079,28,2003/01/01 00:00:00+00,,6_147
121,6_148_*,20240628,6,148,*,,PS,6,100,,20030101,,,446498.7939,4475808.7047,079,28,2003/01/01 00:00:00+00,,6_148
122,6_149_*,20240628,6,149,*,,PS,6,100,,20030101,,,446583.3358,4475653.0319,079,28,2003/01/01 00:00:00+00,,6_149
123,6_150_*,20240628,6,150,*,,PS,6,100,,20080808,,,446709.194,4475434.469,079,28,2003/01/01 00:00:00+00,,6_150
124,6_151_*,20240628,6,151,*,,PS,6,100,,20030101,,,446831.605,4475195.6684,079,28,2003/01/01 00:00:00+00,,6_151
125,6_152_*,20240628,6,152,*,,PS,6,100,,20030101,,,447044.8862,4475013.823,079,28,2003/01/01 00:00:00+00,,6_152
126,6_153_*,20240628,6,153,*,,PS,6,100,,20030101,,,447355.2169,4474836.614,079,28,2003/01/01 00:00:00+00,,6_153
127,6_154_*,20240628,6,154,*,,PS,6,100,,20030101,,,447651.202,4475063.6503,079,28,2003/01/01 00:00:00+00,,6_154
128,6_155_*,20240628,6,155,*,,PS,6,100,,20030101,,,447867.3447,4475259.6503,079,28,2003/01/01 00:00:00+00,,6_155
129,6_156_*,20240628,6,156,*,,PS,6,100,,20030101,,,448114.4814,4475049.9957,079,28,2003/01/01 00:00:00+00,,6_156
130,6_157_*,20240628,6,157,*,,PS,6,100,,20090122,,,448273.043,4474634.012,079,28,2003/01/01 00:00:00+00,,6_157
131,6_159_*,20240628,6,159,*,,PS,6,100,,20030101,,,448379.9487,4473456.5864,079,28,2003/01/01 00:00:00+00,,6_159
132,6_160_*,20240628,6,160,*,,PS,6,100,,20030101,,,448055.6078,4473271.823,079,28,2003/01/01 00:00:00+00,,6_160
133,6_161_*,20240628,6,161,*,,PS,6,100,,20030101,,,448298.5397,4473043.1503,079,28,2003/01/01 00:00:00+00,,6_161
134,6_162_*,20240628,6,162,*,,PS,6,100,,20030101,,,448479.8158,4472994.114,079,28,2003/01/01 00:00:00+00,,6_162
135,6_163_*,20240628,6,163,*,,PS,6,100,,20080929,,,448815.219,4472979.379,079,28,2003/01/01 00:00:00+00,,6_163
136,6_164_*,20240628,6,164,*,,PS,6,100,,20030101,,,444550.7085,4475852.6503,079,28,2003/01/01 00:00:00+00,,6_164
137,6_165_*,20240628,6,165,*,,PS,6,100,,20170911,,,448821.0238,4472993.1952,079,28,2003/01/01 00:00:00+00,,6_165
138,6_166_*,20240628,6,166,*,,PS,6,100,,20170911,,,448483.8853,4473015.9041,079,28,2003/01/01 00:00:00+00,,6_166
139,6_167_*,20240628,6,167,*,,PS,6,100,,20030101,,,448434.5406,4473201.4136,079,28,2003/01/01 00:00:00+00,,6_167
140,6_168_*,20240628,6,168,*,,PS,6,100,,20030101,,,448271.93,4473405.6589,079,28,2003/01/01 00:00:00+00,,6_168
141,6_169_*,20240628,6,169,*,,PS,6,100,,20210311,,,448085.13717,4473340.39094,079,28,2003/01/01 00:00:00+00,,6_169
142,6_170_*,20240628,6,170,*,,PS,6,100,,20030101,,,448028.8134,4473516.6684,079,28,2003/01/01 00:00:00+00,,6_170
143,6_171_*,20240628,6,171,*,,PS,6,100,,20030101,,,448314.9599,4473582.9594,079,28,2003/01/01 00:00:00+00,,6_171
144,6_172_*,20240628,6,172,*,,PS,6,100,,20030101,,,448287.7075,4474636.2591,079,28,2003/01/01 00:00:00+00,,6_172
145,6_173_*,20240628,6,173,*,,PS,6,100,,20030101,,,448136.3461,4475055.6589,079,28,2003/01/01 00:00:00+00,,6_173
146,6_174_*,20240628,6,174,*,,PS,6,100,,20030101,,,447863.9664,4475273.9862,079,28,2003/01/01 00:00:00+00,,6_174
147,6_175_*,20240628,6,175,*,,PS,6,100,,20030101,,,447628.5126,4475063.0043,079,28,2003/01/01 00:00:00+00,,6_175
148,6_176_*,20240628,6,176,*,,PS,6,100,,20030101,,,447347.3265,4474846.0043,079,28,2003/01/01 00:00:00+00,,6_176
149,6_177_*,20240628,6,177,*,,PS,6,100,,20170911,,,447072.3311,4475023.4862,079,28,2003/01/01 00:00:00+00,,6_177
150,6_178_*,20240628,6,178,*,,PS,6,100,,20030101,,,446861.9561,4475203.7772,079,28,2003/01/01 00:00:00+00,,6_178
151,6_179_*,20240628,6,179,*,,PS,6,100,,20030101,,,446713.5732,4475483.9862,079,28,2003/01/01 00:00:00+00,,6_179
152,6_180_*,20240628,6,180,*,,PS,6,100,,20030101,,,446617.1926,4475658.4499,079,28,2003/01/01 00:00:00+00,,6_180
153,6_181_*,20240628,6,181,*,,PS,6,100,,20030101,,,446522.9739,4475830.6226,079,28,2003/01/01 00:00:00+00,,6_181
154,6_182_*,20240628,6,182,*,,PS,6,100,,20030101,,,446328.4561,4476185.1045,079,28,2003/01/01 00:00:00+00,,6_182
155,6_183_*,20240628,6,183,*,,PS,6,100,,20030101,,,446187.8489,4476443.6226,079,28,2003/01/01 00:00:00+00,,6_183
156,6_186_*,20240628,6,186,*,,PS,6,100,,20170328,,,441048.028,4474664.5959,079,28,2003/01/01 00:00:00+00,,6_186
157,6_187_*,20240628,6,187,*,,PS,6,100,,20030101,,,441379.3232,4474810.1045,079,28,2003/01/01 00:00:00+00,,6_187
158,6_188_*,20240628,6,188,*,,PS,6,100,,20030101,,,441520.027,4475220.7047,079,28,2003/01/01 00:00:00+00,,6_188
159,6_189_*,20240628,6,189,*,,PS,6,100,,20180626,,,441595.5895,4475472.3955,079,28,2003/01/01 00:00:00+00,,6_189
160,6_190_*,20240628,6,190,*,,PS,6,100,,20180626,,,441667.3801,4475821.8955,079,28,2003/01/01 00:00:00+00,,6_190
161,6_191_*,20240628,6,191,*,,PS,6,100,,20110124,,,441744.73,4476269.811,079,28,2003/01/01 00:00:00+00,,6_191
162,6_192_*,20240628,6,192,*,,PS,6,100,,20030101,,,441559.9599,4476503.7133,079,28,2003/01/01 00:00:00+00,,6_192
163,6_193_*,20240628,6,193,*,,PS,6,100,,20030101,,,441345.8661,4476499.1131,079,28,2003/01/01 00:00:00+00,,6_193
164,6_194_*,20240628,6,194,*,,PS,6,100,,20030101,,,440931.9286,4476489.5769,079,28,2003/01/01 00:00:00+00,,6_194
165,6_195_*,20240628,6,195,*,,PS,6,100,,20030101,,,440934.5214,4476900.0682,079,28,2003/01/01 00:00:00+00,,6_195
166,6_196_*,20240628,6,196,*,,PS,6,100,,20030101,,,440957.986,4477205.0864,079,28,2003/01/01 00:00:00+00,,6_196
167,6_197_*,20240628,6,197,*,,PS,6,100,,20030101,,,440979.111,4477509.0864,079,28,2003/01/01 00:00:00+00,,6_197
168,6_198_*,20240628,6,198,*,,PS,6,100,,20030101,,,440995.91,4477725.9136,079,28,2003/01/01 00:00:00+00,,6_198
169,6_199_*,20240628,6,199,*,,PS,6,100,,20030101,,,441021.285,4478031.7409,079,28,2003/01/01 00:00:00+00,,6_199
170,6_200_*,20240628,6,200,*,,PS,6,100,,20030101,,,441047.0662,4478364.5682,079,28,2003/01/01 00:00:00+00,,6_200
171,6_201_*,20240628,6,201,*,,PS,6,100,,20030101,,,441150.41,4478628.0682,079,28,2003/01/01 00:00:00+00,,6_201
172,6_202_*,20240628,6,202,*,,PS,6,100,,20110711,,,441160.236,4478807.959,079,28,2003/01/01 00:00:00+00,,6_202
173,6_203_*,20240628,6,203,*,,PS,6,100,,20030101,,,441388.1474,4478829.4594,079,28,2003/01/01 00:00:00+00,,6_203
174,6_204_*,20240628,6,204,*,,PS,6,100,,20030101,,,441592.8339,4478768.6865,079,28,2003/01/01 00:00:00+00,,6_204
175,6_205_*,20240628,6,205,*,,PS,6,100,,20090302,,,441628.262,4479231.999,079,28,2003/01/01 00:00:00+00,,6_205
176,6_206_*,20240628,6,206,*,,PS,6,100,,20030101,,,441651.6893,4479459.19,079,28,2003/01/01 00:00:00+00,,6_206
177,6_208_*,20240628,6,208,*,,PS,6,100,,20140606,,,441736.215,4480056.151,079,28,2003/01/01 00:00:00+00,,6_208
178,6_209_*,20240628,6,209,*,,PS,6,100,,20030101,,,441827.3843,4480464.5682,079,28,2003/01/01 00:00:00+00,,6_209
179,6_210_*,20240628,6,210,*,,PS,6,100,,20080319,,,441858.768,4480628.103,079,28,2003/01/01 00:00:00+00,,6_210
180,6_211_*,20240628,6,211,*,,PS,6,100,,20030101,,,442256.9263,4480560.6131,079,28,2003/01/01 00:00:00+00,,6_211
181,6_212_*,20240628,6,212,*,,PS,6,100,,20030101,,,441992.7244,4480387.0043,079,28,2003/01/01 00:00:00+00,,6_212
182,6_213_*,20240628,6,213,*,,PS,6,100,,20120926,,,441659.83,4480034.696,079,28,2003/01/01 00:00:00+00,,6_213
183,6_215_*,20240628,6,215,*,,PS,6,100,,20030101,,,441614.765,4479442.2409,079,28,2003/01/01 00:00:00+00,,6_215
184,6_216_*,20240628,6,216,*,,PS,6,100,,20030101,,,441581.285,4479061.1727,079,28,2003/01/01 00:00:00+00,,6_216
185,6_217_*,20240628,6,217,*,,PS,6,100,,20030101,,,441369.3498,4478850.5406,079,28,2003/01/01 00:00:00+00,,6_217
186,6_218_*,20240628,6,218,*,,PS,6,100,,20030101,,,441201.715,4478822.5864,079,28,2003/01/01 00:00:00+00,,6_218
187,6_219_*,20240628,6,219,*,,PS,6,100,,20110711,,,441181.084,4478534.453,079,28,2003/01/01 00:00:00+00,,6_219
188,6_220_*,20240628,6,220,*,,PS,6,100,,20030101,,,441162.7463,4478367.4136,079,28,2003/01/01 00:00:00+00,,6_220
189,6_221_*,20240628,6,221,*,,PS,6,100,,20030101,,,441147.1213,4478142.4136,079,28,2003/01/01 00:00:00+00,,6_221
190,6_222_*,20240628,6,222,*,,PS,6,100,,20110706,,,441122.905,4477830.516,079,28,2003/01/01 00:00:00+00,,6_222
191,6_223_*,20240628,6,223,*,,PS,6,100,,20030101,,,441098.9963,4477500.4318,079,28,2003/01/01 00:00:00+00,,6_223
192,6_224_*,20240628,6,224,*,,PS,6,100,,20030101,,,441076.139,4477206.5864,079,28,2003/01/01 00:00:00+00,,6_224
193,6_225_*,20240628,6,225,*,,PS,6,100,,20030101,,,441051.6078,4476879.5864,079,28,2003/01/01 00:00:00+00,,6_225
194,6_226_*,20240628,6,226,*,,PS,6,100,,20030101,,,441128.7724,4476475.9594,079,28,2003/01/01 00:00:00+00,,6_226
195,6_227_*,20240628,6,227,*,,PS,6,100,,20080929,,,441362.957,4476484.092,079,28,2003/01/01 00:00:00+00,,6_227
196,6_228_*,20240628,6,228,*,,PS,6,100,,20180627,,,441644.9338,4476451.6865,079,28,2003/01/01 00:00:00+00,,6_228
197,6_229_*,20240628,6,229,*,,PS,6,100,,20180627,,,441682.332,4476245.182,079,28,2003/01/01 00:00:00+00,,6_229
198,6_230_*,20240628,6,230,*,,PS,6,100,,20180627,,,441593.3358,4475835.7409,079,28,2003/01/01 00:00:00+00,,6_230
